config_id,seed,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,energy_j_per_slot,backlog_mbit,trace_path,trace_sha256
c06,520931,100.0,10.0,2.0,1200000000000.0,4.0,2000000.0,2.0,1e-10,1.6376864763120222,114.51480155388509,experiments/results/parameter_sensitivity_v1/traces/c06_s520931.npz,3ac2ce6813c046271c3c2d349e090fe22daa5db5b7cbd5e026312cf9852b9149
c07,520927,100.0,10.0,2.0,2400000000000.0,8.0,2000000.0,2.0,1e-10,1.6225197200266963,228.76562684470406,experiments/results/parameter_sensitivity_v1/traces/c07_s520927.npz,c8ea0fb501c8ae75d6f90312d65278da32d1dc6e2a4fa85f0652d71b4a7063ea
c07,520928,100.0,10.0,2.0,2400000000000.0,8.0,2000000.0,2.0,1e-10,1.6260384334782982,228.87627069782724,experiments/results/parameter_sensitivity_v1/traces/c07_s520928.npz,24115c5a46db1faf27d164da3d7ebde674876d7f6dc9f8edfe6ce64add34e9dc
c07,520929,100.0,10.0,2.0,2400000000000.0,8.0,2000000.0,2.0,1e-10,1.62123251082981,228.83892600990723,experiments/results/parameter_sensitivity_v1/traces/c07_s520929.npz,cbef117a5e6debd1dcebd7f5bd0690242deef7d20433d884df2e3a87512ef034
c07,520930,100.0,10.0,2.0,2400000000000.0,8.0,2000000.0,2.0,1e-10,1.6281182948364912,229.0354074398859,experiments/results/parameter_sensitivity_v1/traces/c07_s520930.npz,0af9737efc32e9138515fd5a6272be688e69de140cc08ce02a3763721934aca9
c07,520931,100.0,10.0,2.0,2400000000000.0,8.0,2000000.0,2.0,1e-10,1.6253055230002542,228.94712364251316,experiments/results/parameter_sensitivity_v1/traces/c07_s520931.npz,319ef85716ced3c1187edaad168d31fc9692b34a77513f6158ca35d7145ba68e
c08,520927,100.0,10.0,2.0,4800000000000.0,16.0,2000000.0,2.0,1e-10,1.608792550954794,456.83257957476684,experiments/results/parameter_sensitivity_v1/traces/c08_s520927.npz,a80e39bd89b17ce58840e2f2c5f8c24648ab179b49bdf82d4fd7ecaf1eeb1e1e
c08,520928,100.0,10.0,2.0,4800000000000.0,16.0,2000000.0,2.0,1e-10,1.6122101993609617,457.05885107531617,experiments/results/parameter_sensitivity_v1/traces/c08_s520928.npz,e95403fd1dbf7ce3b20e85e75c080266af82aeb456b35df5df6effb4c086117e
c08,520929,100.0,10.0,2.0,4800000000000.0,16.0,2000000.0,2.0,1e-10,1.607627035488408,456.96588953954,experiments/results/parameter_sensitivity_v1/traces/c08_s520929.npz,7a55937ed254eb4bc50824494134be7b936c81b8f52fd58925c76916a1a54f48
c08,520930,100.0,10.0,2.0,4800000000000.0,16.0,2000000.0,2.0,1e-10,1.614256114034035,457.37748865871185,experiments/results/parameter_sensitivity_v1/traces/c08_s520930.npz,f8691100119e2b9d659476170dd9b98425ec0f71df4b9a9f66372732aae1b76f
c08,520931,100.0,10.0,2.0,4800000000000.0,16.0,2000000.0,2.0,1e-10,1.611757144677235,457.21924859126455,experiments/results/parameter_sensitivity_v1/traces/c08_s520931.npz,4e62ab1fe29832ce56823ecb57a0ac179b444b88266acee65cf6c718ec34c0bb
c09,520927,100.0,10.0,1.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.25853310526632006,8.205525093569207,experiments/results/parameter_sensitivity_v1/traces/c09_s520927.npz,1994b2e6f066e01ddf63b8cb9e61f60d842d6721dc307eab3b8887045340d109
c09,520928,100.0,10.0,1.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.2592594373856502,8.189795609120134,experiments/results/parameter_sensitivity_v1/traces/c09_s520928.npz,f5b67e9c54db088a048d0ab19c44e39eb3449c0cbc3dd6239345d413c3c2fd93
